EmpID,Age,AgeGroup,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,SalarySlab,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
RM100120,42,18-25,Yes,Travel_Frequently,596,Sales,21,2,Marketing,1,100120,4,Female,49,1,4,Research Scientist,3,Single,69007,15k+,15190,4,Y,Yes,19,1,2,80,0,34,6,3,5,6,1,1
RM100121,54,46-55,Yes,Non-Travel,467,Human Resources,14,3,Medical,1,100121,3,Male,55,3,1,Manager,1,Married,23352,10k-15k,22606,4,Y,Yes,19,3,1,80,1,20,0,2,27,16,1,4
RM100122,45,55+,No,Travel_Frequently,1274,Human Resources,17,5,Technical Degree,1,100122,3,Male,36,1,1,Research Scientist,3,Divorced,63538,5k-10k,9770,7,Y,Yes,20,2,4,80,3,29,3,1,28,11,9,16
RM100123,24,36-45,No,Travel_Rarely,1410,Human Resources,8,2,Marketing,1,100123,2,Female,97,1,3,Research Scientist,2,Divorced,142138,0-5k,2217,5,Y,No,20,2,1,80,0,9,3,2,13,13,4,4
RM100124,32,55+,Yes,Travel_Frequently,1433,Human Resources,11,1,Life Sciences,1,100124,2,Female,68,1,5,Manager,2,Single,98699,10k-15k,12876,5,Y,No,18,4,2,80,3,21,6,3,11,14,3,10
RM100125,57,46-55,No,Travel_Rarely,1498,Human Resources,29,5,Medical,1,100125,4,Male,74,2,3,Sales Executive,3,Single,178723,15k+,14348,6,Y,No,13,3,4,80,3,24,1,1,25,3,6,5
RM100126,34,36-45,No,Non-Travel,877,Sales,18,5,Medical,1,100126,2,Female,72,2,2,Research Scientist,3,Divorced,103957,0-5k,10157,7,Y,No,13,3,2,80,3,35,5,1,25,0,0,2
RM100127,56,36-45,Yes,Travel_Frequently,1453,Research & Development,9,1,Other,1,100127,4,Male,40,4,2,Sales Executive,2,Single,49377,10k-15k,11837,5,Y,No,11,1,4,80,2,37,6,3,9,2,15,8
RM100128,28,36-45,No,Travel_Frequently,1481,Sales,1,1,Life Sciences,1,100128,4,Female,67,4,4,Sales Executive,3,Divorced,30270,0-5k,3042,7,Y,Yes,13,2,1,80,3,19,4,3,20,7,12,0
RM100129,58,55+,Yes,Travel_Rarely,492,Sales,2,4,Technical Degree,1,100129,4,Female,89,1,4,Sales Executive,3,Single,117520,10k-15k,20032,2,Y,Yes,12,4,3,80,3,15,2,1,10,6,9,3
RM100130,55,36-45,No,Travel_Frequently,734,Human Resources,29,5,Medical,1,100130,2,Female,37,4,2,Laboratory Technician,4,Married,87490,15k+,13753,3,Y,Yes,21,4,1,80,0,28,3,2,31,18,1,12
RM100131,50,36-45,No,Travel_Frequently,345,Research & Development,1,5,Medical,1,100131,3,Female,62,3,2,Research Scientist,2,Divorced,184907,10k-15k,19626,7,Y,No,24,3,3,80,3,23,3,1,37,1,7,17
RM100132,57,26-35,No,Travel_Rarely,465,Human Resources,25,2,Other,1,100132,4,Male,82,2,1,Sales Executive,1,Single,132423,10k-15k,21698,9,Y,Yes,18,4,4,80,0,14,5,2,39,2,2,13
RM100133,56,26-35,No,Travel_Frequently,1052,Sales,16,2,Other,1,100133,4,Male,64,3,3,Laboratory Technician,3,Divorced,60955,10k-15k,9175,0,Y,No,22,4,2,80,2,7,0,2,28,2,3,12
RM100134,24,26-35,Yes,Non-Travel,1252,Human Resources,18,3,Technical Degree,1,100134,1,Male,84,1,1,Manager,4,Divorced,159869,10k-15k,15415,3,Y,No,10,3,2,80,3,6,3,3,13,0,3,2
RM100135,18,26-35,Yes,Travel_Frequently,429,Human Resources,10,2,Life Sciences,1,100135,2,Male,75,2,1,Laboratory Technician,4,Single,197375,5k-10k,5884,6,Y,Yes,10,3,4,80,0,33,2,1,33,14,9,13
RM100136,38,18-25,No,Travel_Rarely,1451,Research & Development,5,2,Technical Degree,1,100136,2,Female,40,2,4,Laboratory Technician,3,Married,145544,15k+,23934,4,Y,No,17,2,3,80,3,11,5,3,9,17,7,7
RM100137,58,18-25,Yes,Travel_Frequently,876,Research & Development,14,5,Medical,1,100137,2,Female,40,3,4,Sales Executive,3,Divorced,67248,0-5k,8374,6,Y,Yes,20,2,3,80,3,24,2,3,31,4,10,7
RM100138,28,36-45,Yes,Travel_Frequently,828,Sales,16,3,Marketing,1,100138,4,Male,71,3,2,Sales Executive,1,Married,110699,5k-10k,20558,3,Y,No,14,1,1,80,3,30,4,2,16,7,3,16
RM100139,41,46-55,Yes,Non-Travel,1105,Human Resources,26,5,Medical,1,100139,3,Male,57,4,3,Manager,1,Married,110147,0-5k,15386,3,Y,No,16,2,4,80,3,36,2,1,3,15,12,3
RM100140,44,36-45,No,Travel_Frequently,287,Sales,20,1,Life Sciences,1,100140,3,Female,72,4,3,Laboratory Technician,4,Divorced,145914,0-5k,16861,4,Y,Yes,21,1,2,80,2,34,3,4,21,9,13,3
RM100141,20,46-55,No,Non-Travel,203,Sales,2,1,Medical,1,100141,4,Female,38,3,5,Laboratory Technician,1,Divorced,39738,15k+,14115,8,Y,No,19,1,2,80,0,9,3,2,30,17,14,4
RM100142,38,46-55,No,Non-Travel,1405,Sales,2,3,Life Sciences,1,100142,4,Female,80,1,5,Manager,4,Single,137817,10k-15k,22716,8,Y,No,25,1,3,80,0,40,2,2,25,0,1,9
RM100143,23,55+,No,Travel_Rarely,1438,Sales,15,2,Marketing,1,100143,4,Male,80,2,3,Manager,2,Single,118553,5k-10k,19714,8,Y,Yes,10,1,4,80,3,20,2,2,3,10,6,7
RM100144,60,46-55,No,Non-Travel,1398,Human Resources,22,3,Life Sciences,1,100144,4,Female,46,2,2,Research Scientist,3,Single,39493,5k-10k,6546,6,Y,Yes,12,1,1,80,3,35,1,1,24,17,3,16
RM100145,53,46-55,No,Travel_Frequently,1320,Human Resources,1,1,Medical,1,100145,4,Male,49,3,2,Laboratory Technician,1,Divorced,190932,5k-10k,5299,5,Y,No,12,3,4,80,3,36,4,4,11,6,14,8
RM100146,42,26-35,No,Non-Travel,449,Human Resources,20,2,Life Sciences,1,100146,2,Female,87,3,4,Research Scientist,1,Divorced,113415,5k-10k,8728,4,Y,No,10,3,1,80,3,8,2,2,32,17,8,13
RM100147,54,26-35,Yes,Travel_Rarely,640,Research & Development,21,5,Technical Degree,1,100147,1,Male,95,4,5,Laboratory Technician,1,Married,100945,15k+,5323,8,Y,Yes,17,3,4,80,1,16,5,4,8,12,10,1
RM100148,47,26-35,Yes,Travel_Rarely,1453,Human Resources,13,1,Medical,1,100148,4,Female,40,3,5,Sales Executive,1,Single,179930,0-5k,9945,4,Y,Yes,15,4,4,80,2,12,0,3,9,11,6,8
RM100149,18,18-25,Yes,Travel_Rarely,985,Research & Development,10,1,Marketing,1,100149,3,Male,37,1,2,Sales Executive,2,Married,162379,5k-10k,16322,9,Y,No,12,4,3,80,2,28,5,2,12,4,7,15
RM100150,47,55+,No,Non-Travel,1156,Sales,17,1,Life Sciences,1,100150,3,Female,78,3,3,Manager,4,Married,105963,5k-10k,4436,8,Y,Yes,10,4,4,80,1,39,5,2,34,0,9,13
RM100151,46,55+,Yes,Travel_Rarely,759,Sales,17,2,Medical,1,100151,3,Female,32,3,1,Sales Executive,3,Single,46490,10k-15k,11939,3,Y,Yes,24,4,3,80,2,34,2,3,15,7,12,1
RM100152,48,26-35,No,Travel_Rarely,675,Research & Development,22,3,Medical,1,100152,2,Male,79,2,4,Sales Executive,1,Single,189896,15k+,15714,5,Y,No,23,1,3,80,0,38,0,1,13,4,12,11
RM100153,40,46-55,No,Non-Travel,1134,Sales,28,4,Medical,1,100153,4,Female,47,4,1,Research Scientist,4,Divorced,18361,5k-10k,14506,5,Y,No,25,2,2,80,1,11,1,2,19,0,0,2
RM100154,39,55+,Yes,Travel_Frequently,779,Human Resources,11,4,Life Sciences,1,100154,2,Male,80,4,2,Manager,1,Divorced,19673,15k+,7118,7,Y,No,15,1,4,80,2,39,1,4,31,10,0,8
RM100155,35,46-55,Yes,Travel_Rarely,823,Research & Development,9,3,Marketing,1,100155,3,Male,82,4,1,Manager,1,Married,90191,10k-15k,16489,4,Y,Yes,19,4,3,80,1,32,1,2,0,5,0,12
RM100156,23,46-55,Yes,Travel_Frequently,711,Sales,4,3,Life Sciences,1,100156,1,Female,64,4,4,Sales Executive,1,Single,157074,0-5k,24625,0,Y,No,20,4,1,80,2,40,6,1,25,6,11,8
RM100157,18,18-25,No,Travel_Frequently,445,Research & Development,18,1,Marketing,1,100157,2,Female,59,4,3,Sales Executive,1,Single,171207,5k-10k,10325,2,Y,No,20,3,4,80,1,6,4,4,39,11,15,2
RM100158,56,55+,No,Non-Travel,1048,Research & Development,29,4,Marketing,1,100158,1,Female,67,2,5,Sales Executive,2,Divorced,145850,10k-15k,7413,5,Y,Yes,14,4,2,80,0,17,6,4,31,1,10,6
RM100159,47,36-45,No,Travel_Rarely,188,Research & Development,30,2,Medical,1,100159,4,Male,53,1,2,Laboratory Technician,1,Divorced,22965,0-5k,19095,3,Y,No,10,3,2,80,0,23,0,1,39,14,11,0
RM100160,52,26-35,No,Travel_Frequently,871,Research & Development,26,4,Medical,1,100160,3,Female,41,4,4,Research Scientist,4,Married,55447,5k-10k,7086,8,Y,Yes,25,1,1,80,2,24,4,3,4,10,12,3
RM100161,28,18-25,Yes,Travel_Frequently,924,Sales,12,4,Technical Degree,1,100161,4,Male,93,2,1,Laboratory Technician,1,Married,39505,15k+,12964,7,Y,No,22,1,2,80,3,18,1,2,5,1,0,5
RM100162,32,46-55,No,Travel_Frequently,126,Sales,3,2,Marketing,1,100162,2,Male,58,1,4,Research Scientist,3,Divorced,61726,15k+,20945,0,Y,No,21,2,1,80,1,11,0,2,12,11,6,4
RM100163,53,55+,No,Non-Travel,221,Sales,14,4,Technical Degree,1,100163,2,Male,99,4,1,Laboratory Technician,2,Single,188063,10k-15k,9106,9,Y,Yes,13,4,4,80,2,7,5,1,13,15,9,4
RM100164,38,26-35,Yes,Travel_Rarely,332,Research & Development,23,1,Medical,1,100164,2,Male,53,4,3,Laboratory Technician,2,Single,125667,10k-15k,22450,10,Y,Yes,13,1,3,80,3,8,3,3,16,17,15,9
RM100165,27,18-25,Yes,Non-Travel,595,Research & Development,3,1,Marketing,1,100165,4,Female,73,2,3,Laboratory Technician,1,Married,83313,10k-15k,21847,2,Y,No,22,4,2,80,0,4,6,4,24,18,14,5
RM100166,23,36-45,Yes,Non-Travel,1191,Human Resources,15,5,Life Sciences,1,100166,2,Male,91,2,3,Manager,2,Single,87556,0-5k,10639,0,Y,Yes,12,1,4,80,1,37,1,1,34,10,4,11
RM100167,26,26-35,Yes,Travel_Rarely,867,Research & Development,18,5,Other,1,100167,1,Male,76,1,3,Sales Executive,4,Single,33876,10k-15k,23726,7,Y,Yes,10,1,1,80,2,37,6,1,23,3,6,11
RM100168,33,36-45,Yes,Travel_Frequently,1452,Sales,11,1,Life Sciences,1,100168,4,Male,74,1,1,Laboratory Technician,2,Divorced,191717,10k-15k,3489,1,Y,Yes,12,2,4,80,3,9,3,4,31,14,13,1
RM100169,21,55+,No,Travel_Rarely,1154,Human Resources,4,2,Life Sciences,1,100169,2,Male,58,1,5,Manager,4,Divorced,186112,5k-10k,3475,7,Y,Yes,17,4,2,80,0,9,6,1,4,1,6,3
RM100170,53,26-35,Yes,Travel_Rarely,876,Research & Development,4,5,Other,1,100170,2,Female,87,3,1,Laboratory Technician,1,Single,59180,0-5k,2986,9,Y,No,19,4,2,80,0,38,0,3,6,18,14,3
RM100171,51,36-45,No,Travel_Rarely,111,Human Resources,3,5,Other,1,100171,1,Female,70,2,5,Research Scientist,2,Single,194146,5k-10k,9692,1,Y,Yes,16,4,1,80,1,26,4,1,1,0,8,11
RM100172,60,18-25,No,Travel_Frequently,544,Sales,13,5,Life Sciences,1,100172,2,Male,58,4,3,Sales Executive,2,Single,33139,15k+,2236,8,Y,No,21,4,1,80,0,24,0,4,27,13,14,12
RM100173,39,18-25,No,Travel_Frequently,639,Research & Development,13,1,Life Sciences,1,100173,4,Female,49,1,4,Research Scientist,2,Single,148955,5k-10k,18734,5,Y,Yes,16,4,2,80,0,9,0,2,38,16,9,8
RM100174,43,18-25,Yes,Travel_Frequently,669,Sales,28,2,Medical,1,100174,3,Female,38,3,4,Research Scientist,4,Divorced,133080,5k-10k,2871,3,Y,No,25,4,2,80,3,21,4,2,31,8,6,15
RM100175,36,36-45,No,Travel_Rarely,1093,Research & Development,30,5,Other,1,100175,4,Male,30,2,5,Laboratory Technician,4,Married,70600,5k-10k,15736,0,Y,Yes,22,3,3,80,3,30,6,3,11,14,7,8
RM100176,44,26-35,No,Travel_Rarely,1378,Sales,22,1,Marketing,1,100176,3,Female,53,4,2,Research Scientist,1,Single,162931,10k-15k,22223,0,Y,Yes,13,3,3,80,0,29,2,2,24,11,0,13
RM100177,52,36-45,Yes,Travel_Frequently,737,Research & Development,16,1,Marketing,1,100177,2,Male,39,1,1,Manager,2,Married,18380,15k+,6690,8,Y,No,24,4,3,80,0,24,0,1,26,7,11,10
RM100178,47,26-35,Yes,Travel_Frequently,493,Sales,3,4,Technical Degree,1,100178,3,Male,62,4,3,Research Scientist,4,Married,78309,15k+,18321,7,Y,No,11,3,2,80,3,33,1,2,0,16,0,9
RM100179,29,26-35,Yes,Travel_Rarely,273,Sales,16,3,Life Sciences,1,100179,2,Female,33,4,1,Laboratory Technician,1,Married,43140,10k-15k,6153,6,Y,Yes,16,1,2,80,2,3,4,2,31,8,2,3
RM100180,50,36-45,No,Travel_Frequently,232,Sales,18,1,Life Sciences,1,100180,2,Female,97,4,1,Laboratory Technician,3,Divorced,134764,10k-15k,10601,8,Y,Yes,20,4,4,80,1,24,2,2,33,17,10,1
RM100181,25,36-45,Yes,Travel_Frequently,787,Research & Development,29,4,Life Sciences,1,100181,3,Female,70,4,4,Sales Executive,2,Married,79287,15k+,17200,9,Y,Yes,18,2,3,80,3,38,5,4,17,18,3,3
RM100182,41,36-45,No,Travel_Rarely,1353,Sales,28,3,Marketing,1,100182,1,Female,73,2,5,Research Scientist,4,Divorced,61610,15k+,17587,9,Y,Yes,21,3,3,80,1,10,1,4,28,13,8,9
RM100183,23,36-45,No,Travel_Frequently,330,Research & Development,30,4,Other,1,100183,4,Male,36,4,1,Manager,3,Divorced,97311,10k-15k,6371,10,Y,Yes,10,2,2,80,0,5,2,1,0,17,13,3
RM100184,40,26-35,No,Non-Travel,690,Sales,7,5,Medical,1,100184,2,Female,50,2,2,Laboratory Technician,1,Married,27654,10k-15k,6143,4,Y,Yes,13,3,2,80,0,23,6,2,11,1,15,1
RM100185,51,55+,No,Travel_Rarely,1022,Human Resources,22,1,Marketing,1,100185,1,Female,74,2,2,Laboratory Technician,4,Divorced,104020,5k-10k,14180,3,Y,Yes,18,4,2,80,0,6,0,1,23,1,12,8
RM100186,45,18-25,Yes,Non-Travel,1169,Sales,27,5,Medical,1,100186,1,Male,60,4,3,Manager,4,Single,110310,5k-10k,13228,8,Y,Yes,21,1,1,80,1,14,0,2,33,4,7,17
RM100187,24,26-35,No,Non-Travel,944,Research & Development,2,1,Technical Degree,1,100187,4,Male,46,2,3,Research Scientist,2,Single,81921,5k-10k,21041,5,Y,No,11,3,1,80,2,16,6,2,33,8,10,9
RM100188,18,26-35,No,Non-Travel,461,Research & Development,1,2,Marketing,1,100188,1,Female,47,2,3,Research Scientist,2,Single,167653,0-5k,9844,9,Y,No,20,1,2,80,2,23,4,1,40,16,2,5
RM100189,19,36-45,No,Travel_Rarely,668,Research & Development,4,1,Medical,1,100189,4,Male,47,1,2,Laboratory Technician,4,Divorced,33658,15k+,8540,3,Y,No,25,1,3,80,0,6,1,4,0,13,15,11
RM100190,38,55+,No,Travel_Frequently,630,Sales,30,5,Technical Degree,1,100190,2,Male,97,3,2,Sales Executive,2,Divorced,49352,5k-10k,9888,4,Y,Yes,18,1,3,80,0,15,0,1,23,3,6,10
RM100191,43,46-55,Yes,Non-Travel,177,Human Resources,7,5,Medical,1,100191,3,Male,71,1,1,Manager,2,Divorced,16617,0-5k,11341,0,Y,Yes,11,4,3,80,1,35,0,2,32,3,1,1
RM100192,53,36-45,Yes,Travel_Frequently,687,Research & Development,5,2,Medical,1,100192,1,Male,52,1,3,Manager,2,Married,105615,15k+,2283,2,Y,Yes,11,4,1,80,3,9,3,2,37,0,3,5
RM100193,42,26-35,Yes,Travel_Frequently,641,Sales,17,1,Technical Degree,1,100193,3,Female,51,1,4,Laboratory Technician,3,Single,130247,0-5k,13283,4,Y,Yes,16,3,2,80,0,36,6,3,25,10,1,2
RM100194,29,46-55,Yes,Travel_Frequently,1049,Sales,19,5,Technical Degree,1,100194,1,Female,38,3,2,Sales Executive,1,Married,113958,15k+,19361,0,Y,No,11,1,1,80,3,38,2,2,22,0,10,7
RM100195,45,26-35,Yes,Non-Travel,225,Sales,6,4,Life Sciences,1,100195,2,Male,89,3,3,Manager,1,Divorced,170746,5k-10k,19005,7,Y,No,24,1,4,80,1,23,6,4,6,9,8,2
RM100196,30,26-35,Yes,Non-Travel,1485,Research & Development,4,3,Technical Degree,1,100196,3,Male,58,2,1,Sales Executive,2,Single,91613,5k-10k,13414,10,Y,No,23,2,4,80,1,7,6,3,0,10,15,6
RM100197,54,18-25,Yes,Travel_Frequently,787,Research & Development,9,2,Marketing,1,100197,3,Male,89,1,2,Laboratory Technician,4,Single,127567,0-5k,4567,6,Y,No,15,1,1,80,1,28,5,3,15,1,1,13
RM100198,21,36-45,Yes,Non-Travel,292,Human Resources,19,4,Life Sciences,1,100198,3,Female,69,3,5,Sales Executive,3,Divorced,112861,10k-15k,15741,1,Y,Yes,15,4,3,80,0,10,5,4,24,9,14,15
RM100199,29,46-55,No,Travel_Rarely,644,Research & Development,20,4,Technical Degree,1,100199,2,Female,90,3,1,Laboratory Technician,2,Single,131218,5k-10k,3047,0,Y,Yes,12,4,2,80,1,20,4,3,1,18,7,5
